  0.0000000e+000  0.0000000e+000  0.0000000e+000  0.0000000e+000  0.0000000e+000  0.0000000e+000  0.0000000e+000  0.0000000e+000  0.0000000e+000  0.0000000e+000  0.0000000e+000  0.0000000e+000  0.0000000e+000  0.0000000e+000  0.0000000e+000
  0.0000000e+000  0.0000000e+000  0.0000000e+000  0.0000000e+000  0.0000000e+000  0.0000000e+000  0.0000000e+000  0.0000000e+000  0.0000000e+000  0.0000000e+000  0.0000000e+000  0.0000000e+000  0.0000000e+000  0.0000000e+000  0.0000000e+000
  7.5897870e-007  7.6074628e-007  7.6062254e-007  7.6084028e-007  7.6075273e-007  1.5148501e-004  1.5213690e-004  1.5208107e-004  1.5216070e-004  1.5213035e-004 -1.8628574e-004 -7.5136174e-006 -2.6016655e-005 -4.4426236e-006 -1.2108831e-005
  3.0788899e-006  3.1027762e-006  3.1003521e-006  3.1032188e-006  3.1022049e-006  3.1172908e-004  3.1628872e-004  3.1578830e-004  3.1632836e-004  3.1614673e-004 -6.4683303e-004  4.0242238e-006 -7.1832211e-005  3.4994184e-006 -2.0096025e-005
  6.9991741e-006  7.1125613e-006  7.1000760e-006  7.1133213e-006  7.1089970e-006  4.7111470e-004  4.8569946e-004  4.8405678e-004  4.8572112e-004  4.8520935e-004 -1.3741664e-003  2.2351598e-005 -1.3149443e-004  2.0779287e-005 -2.1460811e-005
  1.2479794e-005  1.2824230e-005  1.2786376e-005  1.2825297e-005  1.2813486e-005  6.2339481e-004  6.5664203e-004  6.5309571e-004  6.5670893e-004  6.5570167e-004 -2.3421818e-003  2.6547971e-005 -1.9578172e-004  4.1646931e-005 -1.3434687e-005
  1.9417068e-005  2.0230740e-005  2.0145677e-005  2.0233933e-005  2.0209259e-005  7.6211411e-004  8.2459988e-004  8.1866785e-004  8.2504755e-004  8.2348709e-004 -3.5089451e-003 -1.0056037e-005 -2.5360943e-004  5.9088574e-005  7.0045521e-006
  2.7668013e-005  2.9301459e-005  2.9145559e-005  2.9314190e-005  2.9271659e-005  8.8588099e-004  9.8936589e-004  9.8123953e-004  9.9101545e-004  9.8905147e-004 -4.8245192e-003 -1.1730995e-004 -2.9487666e-004  6.5900943e-005  4.2201429e-005
  3.7101451e-005  4.0025412e-005  3.9781944e-005  4.0066700e-005  4.0004211e-005  9.9844280e-004  1.1550803e-003  1.1460069e-003  1.1594707e-003  1.1575444e-003 -6.2419286e-003 -3.2429654e-004 -3.1320244e-004  5.6422507e-005  9.3435097e-005
  4.7618925e-005  5.2424647e-005  5.2095965e-005  5.2533446e-005  5.2454996e-005  1.1025864e-003  1.3242155e-003  1.3168071e-003  1.3338315e-003  1.3327255e-003 -7.7205054e-003 -6.5540339e-004 -3.0729111e-004  2.8190235e-005  1.6111094e-004
  5.9101945e-005  6.6494888e-005  6.6117160e-005  6.6740593e-005  6.6659756e-005  1.1915254e-003  1.4890454e-003  1.4874770e-003  1.5075219e-003  1.5083666e-003 -9.2150357e-003 -1.1279170e-003 -2.8045452e-004 -1.7332260e-005  2.4513787e-004
  7.1341147e-005  8.2128370e-005  8.1787719e-005  8.2623194e-005  8.2566453e-005  1.2538951e-003  1.6366107e-003  1.6467016e-003  1.6689011e-003  1.6731378e-003 -1.0666305e-002 -1.7521396e-003 -2.4070670e-004 -7.5641218e-005  3.4413462e-004
